minute,title,comment,out_player,in_player,match_id_hash
39',Attempt Saved,Attempt blocked. Lionel Messi's (Inter Miami CF) with left footed shot from the central position outside the box with an xG of 4% is blocked by Patrick Yazbek.,,,8dd08bf6
42',Attempt Missed,Attempt missed. Baltasar Rodríguez's (Inter Miami CF) with right footed shot from the left side of the box with an xG of 34% misses to the right.,,,8dd08bf6
43',GOAL,Goal! 1:1. Sam Surridge (Nashville SC) scored with header from the center of the box with an xG of 32% to the middle left zone. Assisted by Hany Mukhtar.,,,8dd08bf6
45'+2,Post,Lionel Messi (Inter Miami CF) hits the right post from the center of the box with an xG of 11%.,,,8dd08bf6
45'+6,Post,Hany Mukhtar (Nashville SC) hits the right post from the left side of the box with an xG of 8%.,,,8dd08bf6
45'+6,GOAL,Goal! 2:1. Jacob Shaffelburg (Nashville SC) scored with left footed shot from the center of the box with an xG of 95% to the lower right zone.,,,8dd08bf6
49',Attempt Missed,Attempt missed. Rodrigo De Paul's (Inter Miami CF) with left footed shot from the central position outside the box with an xG of 7% goes over.,,,8dd08bf6
50',Attempt Missed,Tadeo Allende (Inter Miami CF) with left footed shot from the center of the box with an xG of 85%.,,,8dd08bf6
51',Attempt Saved,Attempt blocked. Alex Muyl's (Nashville SC) with right footed shot from the center of the box with an xG of 7% is blocked by Gonzalo Luján.,,,8dd08bf6
52',Attempt Saved,Attempt blocked. Lionel Messi's (Inter Miami CF) with right footed shot from the central position outside the box with an xG of 9% is blocked by Walker Zimmerman.,,,8dd08bf6
52',Attempt Missed,Attempt missed. Luis Suárez's (Inter Miami CF) with right footed shot from the central position outside the box with an xG of 6% goes over.,,,8dd08bf6
55',Attempt Saved,Attempt saved. Baltasar Rodríguez's (Inter Miami CF) with header from the center of the box with an xG of 15% is saved by Joe Willis.,,,8dd08bf6
63',PENALTY GOAL,Goal! 2:2. Lionel Messi (Inter Miami CF) scored from penalty with left footed shot with an xG of 77% to the lower left zone.,,,8dd08bf6
64',Yellow Card,Hany Mukhtar (Nashville SC) is shown the yellow card for poor sportsmanship.,,,8dd08bf6
67',Attempt Saved,Attempt saved. Luis Suárez's (Inter Miami CF) with right footed shot from the center of the box with an xG of 31% is saved by Joe Willis.,,,8dd08bf6
67',GOAL,Goal! 2:3. Baltasar Rodríguez (Inter Miami CF) scored with right footed shot from the center of the box with an xG of 85% to the central bottom zone.,,,8dd08bf6
68',Yellow Card,Rodrigo De Paul (Inter Miami CF) is shown the yellow card for poor sportsmanship.,,,8dd08bf6
69',Attempt Saved,Attempt saved. Lionel Messi's (Inter Miami CF) with left footed shot from the center of the box with an xG of 36% is saved by Joe Willis.,,,8dd08bf6
72',Attempt Saved,Attempt saved. Sam Surridge's (Nashville SC) with header from the center of the box with an xG of 11% is saved by Rocco Ríos Novo.,,,8dd08bf6
76',Attempt Missed,Attempt missed. Tadeo Allende's (Inter Miami CF) with right footed shot from the right side of the box with an xG of 5% misses to the right.,,,8dd08bf6
80',Attempt Missed,Attempt missed. Rodrigo De Paul's (Inter Miami CF) with right footed shot from the central position outside the box with an xG of 2% misses to the left.,,,8dd08bf6
81',GOAL,Goal! 2:4. Lionel Messi (Inter Miami CF) scored with left footed shot from the center of the box with an xG of 8% to the lower left zone. Assisted by Ian Fray.,,,8dd08bf6
84',Attempt Saved,Attempt saved. Luis Suárez's (Inter Miami CF) with right footed shot from the left side of the box with an xG of 13% is saved by Joe Willis.,,,8dd08bf6
87',Attempt Saved,Attempt blocked. Gastón Brugman's (Nashville SC) with right footed shot from the left half-space outside the box with an xG of 2% is blocked by Tomás Avilés.,,,8dd08bf6
90'+1,GOAL,"Goal! 2:5. Telasco Segovia (Inter Miami CF) scored with right footed shot from the center of the box with an xG of 94% to the lower left zone. Assisted by Lionel Messi, second assist by Ian Fray.",,,8dd08bf6
1',Attempt Saved,Attempt saved. Denis Bouanga's (Los Angeles Football Club) with left footed shot from the left side of the box with an xG of 3% is saved by Zack Steffen.,,,1bcc81e5
4',Attempt Saved,Attempt blocked. Eddie Segura's (Los Angeles Football Club) with left footed shot from the center of the box with an xG of 8% is blocked by Rob Holding.,,,1bcc81e5
6',Attempt Saved,Attempt blocked. Rafael Navarro's (Colorado Rapids) with left footed shot from the center of the box with an xG of 9% is blocked by Eddie Segura.,,,1bcc81e5
15',Foul,Ryan Porteous (Los Angeles Football Club) is shown the yellow card for the foul.,,,1bcc81e5
17',Foul,Reggie Cannon (Colorado Rapids) is shown the yellow card for the foul.,,,1bcc81e5
18',Attempt Saved,Attempt saved. Ryan Hollingshead's (Los Angeles Football Club) with right footed shot from the center of the box with an xG of 20% is saved by Zack Steffen.,,,1bcc81e5
19',Attempt Missed,Attempt missed. Ryan Hollingshead's (Los Angeles Football Club) with header from the left side of the box with an xG of 7% misses to the left.,,,1bcc81e5
26',Attempt Saved,Attempt saved. Marco Delgado's (Los Angeles Football Club) with right footed shot from the central position outside the box with an xG of 4% is saved by Zack Steffen.,,,1bcc81e5
26',Foul,Eddie Segura (Los Angeles Football Club) is shown the yellow card for the foul.,,,1bcc81e5
31',Attempt Missed,Attempt missed. Mathieu Choinière's (Los Angeles Football Club) with right footed shot from the central position outside the box with an xG of 2% goes over.,,,1bcc81e5
34',Attempt Saved,Attempt saved. Denis Bouanga's (Los Angeles Football Club) with right footed shot from the center of the box with an xG of 46% is saved by Zack Steffen.,,,1bcc81e5
35',Attempt Saved,Attempt blocked. Nkosi Tafari's (Los Angeles Football Club) with right footed shot from the center of the box with an xG of 16% is blocked by Rob Holding.,,,1bcc81e5
36',Attempt Saved,Attempt saved. Denis Bouanga's (Los Angeles Football Club) with left footed shot from the right half-space outside the box with an xG of 2% is saved by Zack Steffen.,,,1bcc81e5
40',Attempt Missed,Attempt missed. Denis Bouanga's (Los Angeles Football Club) with left footed shot from the center of the box with an xG of 10% goes over.,,,1bcc81e5
42',GOAL,Goal! 0:1. Son Heung-Min (Los Angeles Football Club) scored with left footed shot from the left side of the box with an xG of 10% to the upper left central zone. Assisted by Denis Bouanga.,,,1bcc81e5
45'+2,Foul,Paxten Aaronson (Colorado Rapids) is shown the yellow card for the foul.,,,1bcc81e5
45'+3,Attempt Saved,Attempt saved. Denis Bouanga's (Los Angeles Football Club) with right footed shot from the center of the box with an xG of 10% is saved by Zack Steffen.,,,1bcc81e5
45'+4,Post,Ryan Porteous (Los Angeles Football Club) hits the left post from the center of the box with an xG of 4%.,,,1bcc81e5
52',Attempt Missed,Attempt missed. Cole Bassett's (Colorado Rapids) with left footed shot from the center of the box with an xG of 24% misses to the left.,,,1bcc81e5
54',Foul,Ted Ku-Dipietro (Colorado Rapids) is shown the yellow card for the foul.,,,1bcc81e5
56',Attempt Saved,Attempt blocked. Paxten Aaronson's (Colorado Rapids) with right footed shot from the right half-space outside the box with an xG of 2% is blocked by Ryan Hollingshead.,,,1bcc81e5
58',Attempt Saved,Attempt saved. Rob Holding's (Colorado Rapids) with header from the center of the box with an xG of 5% is saved by Hugo Lloris.,,,1bcc81e5
62',Corner,Goal! 1:1. Paxten Aaronson (Colorado Rapids) scored with right footed shot from the center of the box with an xG of 10% to the top right corner.,,,1bcc81e5
64',Foul,Nkosi Tafari (Los Angeles Football Club) is shown the yellow card for the foul.,,,1bcc81e5
65',Attempt Missed,Attempt missed. Rob Holding's (Colorado Rapids) with header from the center of the box with an xG of 8% goes over.,,,1bcc81e5
68',Attempt Saved,Attempt blocked. Rafael Navarro's (Colorado Rapids) with left footed shot from the central position outside the box with an xG of 3% is blocked by Ryan Porteous.,,,1bcc81e5
72',Attempt Missed,Attempt missed. Rafael Navarro's (Colorado Rapids) with right footed shot from the left side of the box with an xG of 7% misses to the left.,,,1bcc81e5
75',Attempt Missed,Attempt missed. Denis Bouanga's (Los Angeles Football Club) with left footed shot from the central position outside the box with an xG of 4% misses to the right.,,,1bcc81e5
85',Attempt Missed,Attempt missed. Rob Holding's (Colorado Rapids) with header from the center of the box with an xG of 2% goes over.,,,1bcc81e5
87',GOAL,"Goal! 2:1. Darren Yapi (Colorado Rapids) scored with header from the center of the box with an xG of 12% to the lower left central zone. Assisted by Oliver Larraz, second assist by Keegan Rosenberry.",,,1bcc81e5
90',Attempt Saved,Attempt saved. Jeremy Ebobisse's (Los Angeles Football Club) with right footed shot from the center of the box with an xG of 5% is saved by Zack Steffen.,,,1bcc81e5
90',GOAL,Goal! 2:2. Andrew Moran (Los Angeles Football Club) scored with right footed shot from the center of the box with an xG of 14% to the lower right zone.,,,1bcc81e5
90'+3,Attempt Saved,Attempt blocked. Nathan Ordaz's (Los Angeles Football Club) with left footed shot from the right half-space outside the box with an xG of 2% is blocked by Paxten Aaronson.,,,1bcc81e5
90'+4,Attempt Saved,Attempt blocked. Alexis Manyoma's (Colorado Rapids) with right footed shot from the right half-space outside the box with an xG of 3% is blocked by Artem Smolyakov.,,,1bcc81e5
90'+7,Attempt Missed,Rafael Navarro (Colorado Rapids) with left footed shot from the center of the box with an xG of 4%.,,,1bcc81e5
90'+7,Attempt Saved,Attempt blocked. Rafael Navarro's (Colorado Rapids) with right footed shot from the center of the box with an xG of 5% is blocked by Artem Smolyakov.,,,1bcc81e5
1',Corner,Goal! 1:0. Alhassan Yusuf (New England Revolution) scored with right footed shot from the center of the box with an xG of 40% to the bottom right corner.,,,4358c7d6
3',Attempt Missed,Attempt missed. Alhassan Yusuf's (New England Revolution) with right footed shot from the left half-space outside the box with an xG of 2% goes over.,,,4358c7d6
13',Attempt Missed,Attempt missed. Leo Campana's (New England Revolution) with header from the center of the box with an xG of 11% misses to the left.,,,4358c7d6
19',Attempt Saved,Attempt saved. Leo Campana's (New England Revolution) with header from the right side of the box with an xG of 4% is saved by Chris Brady.,,,4358c7d6
31',Attempt Missed,Attempt missed. Andrew Gutman's (Chicago Fire FC) with left footed shot from the left side of the box with an xG of 8% misses to the left.,,,4358c7d6
39',Attempt Missed,Attempt missed. Keegan Hughes's (New England Revolution) with header from the center of the box with an xG of 14% misses to the right.,,,4358c7d6
44',Attempt Missed,Attempt missed. Rominigue Kouamé's (Chicago Fire FC) with left footed shot from the right half-space outside the box with an xG of 2% goes out of bounds.,,,4358c7d6
50',Attempt Saved,Attempt saved. Philip Zinckernagel's (Chicago Fire FC) with left footed shot from the right half-space outside the box with an xG of 2% is saved by Matt Turner.,,,4358c7d6
52',Attempt Saved,Attempt blocked. Hugo Cuypers's (Chicago Fire FC) with right footed shot from the right side of the box with an xG of 8% is blocked by Mamadou Fofana.,,,4358c7d6
53',Attempt Saved,Attempt saved. Jonathan Bamba's (Chicago Fire FC) with right footed shot from the center of the box with an xG of 9% is saved by Matt Turner.,,,4358c7d6
53',Attempt Saved,Attempt blocked. Dor Turgeman's (New England Revolution) with right footed shot from the center of the box with an xG of 10% is blocked by Jonathan Dean.,,,4358c7d6
56',Attempt Missed,Attempt missed. Sergio Oregel's (Chicago Fire FC) with right footed shot from the central position outside the box with an xG of 6% misses to the left.,,,4358c7d6
66',Attempt Missed,Attempt missed. Andrew Gutman's (Chicago Fire FC) with left footed shot from the center of the box with an xG of 7% goes over to the right.,,,4358c7d6
68',Foul,Dor Turgeman (New England Revolution) is shown the yellow card for the foul.,,,4358c7d6
72',Attempt Saved,Attempt blocked. Maren Haile-Selassie's (Chicago Fire FC) with left footed shot from the left side of the box with an xG of 8% is blocked by Keegan Hughes.,,,4358c7d6
75',Attempt Missed,Attempt missed. Dje D’Avilla's (Chicago Fire FC) with right footed shot from the central position outside the box with an xG of 3% goes over to the right.,,,4358c7d6
77',Attempt Missed,Attempt missed. Philip Zinckernagel's (Chicago Fire FC) with right footed shot from the central position outside the box with an xG of 10% goes over.,,,4358c7d6
79',Attempt Missed,Attempt missed. Jack Elliott's (Chicago Fire FC) with header from the center of the box with an xG of 4% misses to the right.,,,4358c7d6
82',GOAL,"Goal! 1:1. Philip Zinckernagel (Chicago Fire FC) scored with right footed shot from the center of the box with an xG of 43% to the upper right central zone. Assisted by Hugo Cuypers, second assist by Maren Haile-Selassie.",,,4358c7d6
83',Attempt Saved,Attempt saved. Keegan Hughes's (New England Revolution) with header from the central position outside the box with an xG of 2% is saved by Chris Brady.,,,4358c7d6
85',Attempt Saved,Attempt saved. Brian Gutiérrez's (Chicago Fire FC) with left footed shot from the left half-space outside the box with an xG of 4% is saved by Matt Turner.,,,4358c7d6
86',Attempt Saved,Attempt saved. Brian Gutiérrez's (Chicago Fire FC) with right footed shot from the center of the box with an xG of 11% is saved by Matt Turner.,,,4358c7d6
86',Attempt Saved,Attempt blocked. Philip Zinckernagel's (Chicago Fire FC) with right footed shot from the center of the box with an xG of 19% is blocked by Brandon Bye.,,,4358c7d6
90'+6,Corner,Goal! 2:1. Dor Turgeman (New England Revolution) scored with header from the center of the box with an xG of 20% to the bottom right corner. Assisted by Carles Gil.,,,4358c7d6
90'+9,Foul,Luca Langoni (New England Revolution) is shown the yellow card for the foul.,,,4358c7d6
90'+9,Attempt Saved,Attempt blocked. Hugo Cuypers's (Chicago Fire FC) with left footed shot from the center of the box with an xG of 21% is blocked by Dor Turgeman.,,,4358c7d6
90'+9,OWN GOAL,Own goal! 2:2. Dor Turgeman (New England Revolution) scored an own goal from the center of the box.,,,4358c7d6
90'+12,Yellow Card,Jack Elliott (Chicago Fire FC) is shown the yellow card for poor sportsmanship.,,,4358c7d6
7',Attempt Saved,Attempt blocked. Kei Kamara's (FC Cincinnati) with right footed shot from the right side of the box with an xG of 6% is blocked by Jalen Neal.,,,8582be8b
8',Attempt Saved,Attempt blocked. Prince Owusu's (CF Montréal) with left footed shot from the center of the box with an xG of 10% is blocked by Teenage Hadebe.,,,8582be8b
29',Foul,Victor Loturi (CF Montréal) is shown the yellow card for the foul.,,,8582be8b
31',Attempt Missed,Attempt missed. Miles Robinson's (FC Cincinnati) with header from the center of the box with an xG of 25% misses to the left.,,,8582be8b
33',Attempt Saved,Attempt saved. Brenner Souza's (FC Cincinnati) with right footed shot from the central position outside the box with an xG of 4% is saved by Thomas Gillier.,,,8582be8b
33',Corner,Goal! 1:0. Nick Hagglund (FC Cincinnati) scored with header from the center of the box with an xG of 14% to the top left corner. Assisted by Evander Da Silva Ferreira.,,,8582be8b
35',Attempt Missed,Attempt missed. Brenner Souza's (FC Cincinnati) with header from the center of the box with an xG of 15% misses to the left.,,,8582be8b
37',Attempt Missed,Attempt missed. Kei Kamara's (FC Cincinnati) with right footed shot from the center of the box with an xG of 28% goes over.,,,8582be8b
42',Foul,Dante Sealy (CF Montréal) is shown the yellow card for the foul.,,,8582be8b
45'+2,Attempt Saved,Attempt saved. Brandan Craig's (CF Montréal) with right footed shot from the left half-space outside the box with an xG of 2% is saved by Roman Celentano.,,,8582be8b
45'+5,Foul,Nick Hagglund (FC Cincinnati) is shown the yellow card for the foul.,,,8582be8b
45'+6,PENALTY MISSED,Penalty missed. Prince Owusu (CF Montréal) hits the right post from the center of the box with an xG of 77%.,,,8582be8b
45'+7,Attempt Saved,Attempt saved. Victor Loturi's (CF Montréal) with header from the center of the box with an xG of 10% is saved by Roman Celentano.,,,8582be8b
48',Attempt Saved,Attempt saved. Yuya Kubo's (FC Cincinnati) with left footed shot from the left side of the box with an xG of 11% is saved by Thomas Gillier.,,,8582be8b
56',Corner,Goal! 2:0. Evander Da Silva Ferreira (FC Cincinnati) scored with left footed shot from the central position outside the box with an xG of 6% to the bottom right corner. Assisted by Nick Hagglund.,,,8582be8b
61',Foul,Samuel Gidi (FC Cincinnati) is shown the yellow card for the foul.,,,8582be8b
63',Attempt Missed,Attempt missed. Hennadii Synchuk's (CF Montréal) with left footed shot from the right side of the box with an xG of 2% misses to the left.,,,8582be8b
72',Attempt Saved,Attempt blocked. Olger Escobar's (CF Montréal) with left footed shot from the central position outside the box with an xG of 2% is blocked by Gilberto Flores.,,,8582be8b
73',Attempt Saved,Attempt saved. Iván Jaime's (CF Montréal) with right footed shot from the central position outside the box with an xG of 5% is saved by Roman Celentano.,,,8582be8b
85',Attempt Saved,Attempt saved. Brian Anunga's (FC Cincinnati) with right footed shot from the center of the box with an xG of 26% is saved by Thomas Gillier.,,,8582be8b
86',Attempt Missed,Bode Hidalgo (CF Montréal) with left footed shot from the central position outside the box with an xG of 4%.,,,8582be8b
86',Attempt Saved,Attempt blocked. Evander Da Silva Ferreira's (FC Cincinnati) with left footed shot from the center of the box with an xG of 7% is blocked by Bode Hidalgo.,,,8582be8b
88',Corner,Goal! 3:0. Brenner Souza (FC Cincinnati) scored with left footed shot from the center of the box with an xG of 18% to the bottom left corner. Assisted by Gerardo Valenzuela.,,,8582be8b
90'+4,Attempt Saved,Attempt saved. Brenner Souza's (FC Cincinnati) with left footed shot from the center of the box with an xG of 30% is saved by Thomas Gillier.,,,8582be8b
90'+5,Attempt Missed,Fernando Álvarez (CF Montréal) with header from the center of the box with an xG of 6%.,,,8582be8b
90'+6,Attempt Missed,Attempt missed. Kwadwo Opoku's (CF Montréal) with left footed shot from the center of the box with an xG of 7% goes over.,,,8582be8b
2',Attempt Saved,Attempt blocked. Diego Luna's (Real Salt Lake) with left footed shot from the central position outside the box with an xG of 6% is blocked by Kyle Hiebert.,,,9ea2ad2c
6',Post,Mykhi Joyner (St. Louis CITY SC) hits the right post from the left side of the box with an xG of 7%.,,,9ea2ad2c
14',Attempt Missed,Attempt missed. Marcel Hartel's (St. Louis CITY SC) with left footed shot from the center of the box with an xG of 4% goes over.,,,9ea2ad2c
15',Attempt Missed,Attempt missed. Eduard Löwen's (St. Louis CITY SC) with right footed shot from the left side of the box with an xG of 4% goes over to the right.,,,9ea2ad2c
17',GOAL,"Goal! 0:1. Victor Olatunji (Real Salt Lake) scored with right footed shot from the right side of the box with an xG of 26% to the lower left zone. Assisted by Zavier Gozo, second assist by Braian Ojeda.",,,9ea2ad2c
21',Foul,Chris Durkin (St. Louis CITY SC) is shown the yellow card for the foul.,,,9ea2ad2c
24',Yellow Card,Diego Luna (Real Salt Lake) is shown the yellow card for poor sportsmanship.,,,9ea2ad2c
28',Attempt Saved,Attempt blocked. João Klauss's (St. Louis CITY SC) with right footed shot from the central position outside the box with an xG of 6% is blocked by Justen Glad.,,,9ea2ad2c
29',Attempt Missed,Attempt missed. João Klauss's (St. Louis CITY SC) with right footed shot from the center of the box with an xG of 11% misses to the left.,,,9ea2ad2c
32',GOAL,Goal! 0:2. Victor Olatunji (Real Salt Lake) scored with right footed shot from the center of the box with an xG of 24% to the lower left zone. Assisted by Diogo Gonçalves.,,,9ea2ad2c
37',Attempt Saved,Attempt saved. Victor Olatunji's (Real Salt Lake) with right footed shot from the left half-space outside the box with an xG of 3% is saved by Roman Bürki.,,,9ea2ad2c
38',Attempt Saved,Attempt blocked. João Klauss's (St. Louis CITY SC) with right footed shot from the right side of the box with an xG of 16% is blocked by Brayan Vera.,,,9ea2ad2c
42',Corner,Goal! 1:2. Eduard Löwen (St. Louis CITY SC) scored from penalty with right footed shot with an xG of 77% to the top left corner.,,,9ea2ad2c
45'+5,Attempt Missed,João Klauss (St. Louis CITY SC) with header from the center of the box with an xG of 7%.,,,9ea2ad2c
45'+6,Attempt Missed,Attempt missed. João Klauss's (St. Louis CITY SC) with header from the center of the box with an xG of 16% goes over.,,,9ea2ad2c
45'+7,Attempt Saved,Attempt saved. Eduard Löwen's (St. Louis CITY SC) with right footed shot from the left half-space outside the box with an xG of 2% is saved by Rafael Cabral.,,,9ea2ad2c
48',Attempt Missed,Attempt missed. João Klauss's (St. Louis CITY SC) with header from the center of the box with an xG of 7% goes over to the right.,,,9ea2ad2c
49',Attempt Missed,Attempt missed. Eduard Löwen's (St. Louis CITY SC) with right footed shot from the central position outside the box with an xG of 4% misses to the right.,,,9ea2ad2c
51',Attempt Saved,Attempt saved. Tomas Totland's (St. Louis CITY SC) with right footed shot from the right side of the box with an xG of 8% is saved by Rafael Cabral.,,,9ea2ad2c
51',Attempt Saved,Attempt saved. Marcel Hartel's (St. Louis CITY SC) with left footed shot from the left side of the box with an xG of 3% is saved by Rafael Cabral.,,,9ea2ad2c
51',Attempt Missed,Attempt missed. Marcel Hartel's (St. Louis CITY SC) with header from the center of the box with an xG of 26% misses to the left.,,,9ea2ad2c
52',Attempt Saved,Attempt saved. Mykhi Joyner's (St. Louis CITY SC) with header from the center of the box with an xG of 25% is saved by Rafael Cabral.,,,9ea2ad2c
59',Attempt Saved,Attempt blocked. Braian Ojeda's (Real Salt Lake) with right footed shot from the central position outside the box with an xG of 2% is blocked by Eduard Löwen.,,,9ea2ad2c
59',Attempt Saved,Attempt blocked. Diego Luna's (Real Salt Lake) with left footed shot from the right side of the box with an xG of 4% is blocked by Fallou Fall.,,,9ea2ad2c
63',Attempt Saved,Attempt blocked. Marcel Hartel's (St. Louis CITY SC) with right footed shot from the right side of the box with an xG of 6% is blocked by Brayan Vera.,,,9ea2ad2c
64',Attempt Saved,Attempt saved. Eduard Löwen's (St. Louis CITY SC) with right footed shot from the right side of the box with an xG of 2% is saved by Rafael Cabral.,,,9ea2ad2c
73',Attempt Saved,Attempt blocked. Tomas Ostrak's (St. Louis CITY SC) with left footed shot from the central position outside the box with an xG of 5% is blocked by Zavier Gozo.,,,9ea2ad2c
74',Foul,Justen Glad (Real Salt Lake) is shown the yellow card for the foul.,,,9ea2ad2c
77',Attempt Saved,Attempt blocked. Rwan Cruz's (Real Salt Lake) with right footed shot from the central position outside the box with an xG of 8% is blocked by Kyle Hiebert.,,,9ea2ad2c
78',Attempt Saved,Attempt blocked. Marcel Hartel's (St. Louis CITY SC) with right footed shot from the central position outside the box with an xG of 7% is blocked by Justen Glad.,,,9ea2ad2c
78',Attempt Saved,Attempt saved. Brendan McSorley's (St. Louis CITY SC) with right footed shot from the right side of the box with an xG of 6% is saved by Rafael Cabral.,,,9ea2ad2c
79',Attempt Saved,Attempt blocked. Marcel Hartel's (St. Louis CITY SC) with right footed shot from the right side of the box with an xG of 4% is blocked by DeAndre Yedlin.,,,9ea2ad2c
79',Foul,Fallou Fall (St. Louis CITY SC) is shown the yellow card for the foul.,,,9ea2ad2c
81',Attempt Saved,Attempt blocked. Marcel Hartel's (St. Louis CITY SC) with right footed shot from the center of the box with an xG of 12% is blocked by Justen Glad.,,,9ea2ad2c
85',Yellow Card,DeAndre Yedlin (Real Salt Lake) is shown the yellow card for poor sportsmanship.,,,9ea2ad2c
85',Post,João Klauss (St. Louis CITY SC) hits the right post from the left half-space outside the box with an xG of 3%.,,,9ea2ad2c
85',Attempt Missed,Attempt missed. Brendan McSorley's (St. Louis CITY SC) with right footed shot from the center of the box with an xG of 83% misses to the left.,,,9ea2ad2c
88',Corner,"Goal! 2:2. João Klauss (St. Louis CITY SC) scored with header from the center of the box with an xG of 14% to the bottom right corner. Assisted by Fallou Fall, second assist by Devin Padelford.",,,9ea2ad2c
90',Attempt Saved,Attempt blocked. Emeka Eneli's (Real Salt Lake) with left footed shot from the center of the box with an xG of 4% is blocked by Brendan McSorley.,,,9ea2ad2c
90'+7,Foul,Tomas Ostrak (St. Louis CITY SC) is shown the yellow card for the foul.,,,9ea2ad2c
