Player,Mins,G,xG,Conv%,SOT,Pass%,A,P,Cross,CK,KP,AD,AD%,FC,FS,OFF,YC,RC,match_id,side,club,GS,GA,XGA,Pass,THRW,LB,LNCH,GK,CC
R. Santos,8,0,0,0,0,66.7,0,2,0,2,1,0,0,0,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
A. Maxsø,90,0,0,0,0,92.5,0,49,0,0,0,0,0,0,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
C. Ronan,74,0,0,0,0,91.9,0,68,1,3,2,0,0,0,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
R. Holding,90,0,0.14,3,1,86.1,0,62,0,0,0,0,0,2,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
R. Navarro,90,0,0.62,5,0,80,0,12,0,0,0,0,0,1,3,3,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
R. Cannon,82,0,0,0,0,91.4,0,53,0,0,1,0,0,2,0,0,1,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
N. Hansen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
A. Harris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
A. Manyoma,16,0,0.02,1,0,77.8,0,7,0,0,0,0,0,0,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
M. Choinière,76,0,0.02,1,0,94.3,0,50,0,0,0,0,0,1,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
N. Tafari,90,0,0.41,1,0,84.4,0,38,0,0,0,0,0,3,0,1,1,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
M. Delgado,90,0,0.04,1,1,78.6,0,44,0,1,1,0,0,0,1,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
E. Segura,90,0,0.14,1,0,89.1,0,57,0,0,0,0,0,2,1,0,1,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
R. Hollingshead,85,0,0.41,2,1,80,0,32,0,0,2,0,0,0,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
N. Ordaz,2,0,0.02,1,0,85.7,0,6,0,0,0,0,0,0,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
D. Bouanga,88,0,0.79,6,4,78.3,1,18,0,0,2,0,0,0,1,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
F. Amaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
J. Ebobisse,14,0,0.05,1,1,83.3,0,5,0,0,0,0,0,1,2,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
T. Hasal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
R. Raposo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
S. Palencia,90,0,0,0,0,86,0,43,2,0,3,0,0,1,1,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
T. Tillman,76,0,0,0,0,87.5,0,28,0,0,0,0,0,1,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
D. Martínez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
A. Smolyakov,5,0,0,0,0,100,0,3,0,0,0,0,0,1,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
S. Heung-Min,76,1,0.1,1,1,86.8,0,33,3,4,3,0,0,0,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
R. Porteous,90,0,0.07,1,0,90.2,0,46,0,0,0,0,0,1,0,0,1,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
A. Moran,14,1,0.14,1,1,85.7,0,12,0,0,1,0,0,0,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
J. Marques Siqueira,14,0,0,0,0,100,0,9,0,0,0,0,0,0,0,0,0,0,colvslafc-10-18-2025,home,COL,,,,,,,,,
Z. Steffen,90,0,,0,,70,0,0,,,,,,0,0,,0,0,colvslafc-10-18-2025,home,COL,7,2,0,21,0,8,0,0,0
H. Lloris,90,0,,0,,35,0,3,,,,,,0,0,,0,0,colvslafc-10-18-2025,home,COL,1,2,0,7,0,6,0,0,0
R. Hernández,90,0,0.02,1,0,87.5,0,49,0,0,0,0,0,1,2,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
L. Brennan,74,0,0,0,0,80,0,12,1,0,1,0,0,2,1,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
C. Sanchez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
S. Lobjanidze,16,0,0.15,2,2,50,0,6,1,1,2,0,0,0,0,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
J. Thiaré,16,0,0.25,2,1,100,0,1,0,0,0,0,0,0,0,1,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
M. Almirón,90,1,0.25,3,2,79.3,0,46,0,0,1,0,0,0,3,1,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
B. Slisz,90,0,0.09,1,0,89.7,0,52,0,0,0,0,0,2,3,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
J. Cohen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
J. Hibbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
L. Afonso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
D. Chong Qui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
P. Amador,90,0,0,0,0,76.9,0,40,0,0,0,0,0,1,3,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
A. Miranchuk,74,0,0,0,0,85.3,0,29,1,4,2,0,0,2,0,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
C. Togashi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
E. Latte Lath,90,0,0.75,3,1,83.3,0,20,0,0,0,0,0,0,1,1,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
E. Mihaj,90,0,0,0,0,87,0,40,0,0,0,0,0,2,1,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
J. Berrocal,90,0,0,0,0,88.9,0,40,0,0,0,0,0,2,0,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
S. Alzate,90,0,0.06,2,1,95.1,0,39,0,3,0,0,0,0,3,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
J. Stroud,55,0,0.24,3,1,90.9,0,20,0,0,0,0,0,1,1,1,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
R. Zouhir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
J. Hopkins,80,0,0,0,0,70.4,0,19,0,4,0,0,0,3,2,0,1,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
C. Benteke,90,0,0.34,3,2,61.5,0,16,0,0,2,0,0,3,3,1,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
D. Badji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
B. Servania,90,0,0.04,1,0,86.3,0,44,0,0,2,0,0,2,0,0,1,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
C. Clark,55,0,0.07,1,0,64.7,0,11,0,0,0,0,0,1,0,0,1,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
L. MacNaughton,90,0,0,0,0,90.8,0,59,0,0,1,0,0,2,0,0,1,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
D. Dodson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
G. Pirani,35,1,0.07,1,1,87.5,0,7,0,0,1,0,0,2,0,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
J. Murrell,22,0,0,0,0,57.1,0,4,0,0,0,0,0,0,0,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
H. Kijima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
M. Peltola,90,0,0,0,0,87,0,40,0,0,0,0,0,1,1,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
C. Antley,68,0,0,0,0,77.3,0,17,1,0,1,0,0,1,1,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
D. Schnegg,90,0,0,0,0,64.1,0,25,0,0,0,0,0,0,2,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
B. Enow,10,0,0,0,0,100,0,3,0,1,0,0,0,0,0,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
J. Peglow,35,0,0.22,1,0,92.3,0,12,0,0,0,0,0,1,1,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
K. Rowles,90,0,0,0,0,94.6,0,70,0,0,0,0,0,0,0,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
K. Joon Hong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,atlvsdc-10-18-2025,home,ATL,,,,,,,,,
B. Guzan,90,0,,0,,82.8,0,2,,,,,,0,0,,0,0,atlvsdc-10-18-2025,home,ATL,3,1,0,24,0,3,0,0,0
J. Farr,90,0,,0,,64.5,0,3,,,,,,0,1,,0,0,atlvsdc-10-18-2025,home,ATL,5,1,0,20,0,8,0,0,0
D. Ríos,13,0,0.03,1,0,100,0,1,0,0,0,0,0,0,0,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
R. Priso,77,0,0.1,1,0,89,0,65,0,0,0,0,0,0,0,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
J. Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
I. Boehmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
S. Berhalter,90,0,0.15,4,1,84.3,0,75,2,8,3,0,0,1,1,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
A. Cubas,90,0,0,0,0,96.4,0,80,0,0,1,0,0,2,0,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
R. Gauld,8,0,0,0,0,92.3,0,12,0,0,0,0,0,1,0,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
A. Ahmed,83,0,0.05,1,1,80,0,32,1,0,4,0,0,0,4,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
M. Laborda,11,0,0,0,0,100,0,4,0,0,0,0,0,1,0,0,0,1,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
J. Badwal,45,0,0.15,2,2,87.5,0,28,0,0,0,0,0,1,4,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
T. Johnson,82,0,0.1,1,0,83.3,0,35,0,0,0,0,0,1,2,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
B. Halbouni,90,0,0,0,0,96.5,0,56,1,0,1,0,0,0,0,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
R. Elloumi,17,0,0.36,2,0,50,0,3,0,0,0,0,0,0,0,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
G. Bovalina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
É. Ocampo,45,0,0.1,1,0,81,0,17,0,0,0,0,0,1,0,0,1,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
E. Sabbi,73,0,0.22,1,0,90,0,18,0,0,0,0,0,3,1,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
T. Müller,90,1,0.83,3,3,86.4,0,57,1,0,2,0,0,0,2,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
K. Cabrera,7,0,0.04,1,0,90.9,0,10,1,0,0,0,0,0,0,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
J. Pupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
L. Abubakar,65,0,0,0,0,81.8,0,18,0,0,0,0,0,1,0,0,1,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
B. Kamungo,80,0,0.05,1,1,64.7,0,11,1,0,0,0,0,2,1,0,1,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
S. Lletget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
P. Pomykal,10,0,0.14,1,1,100,0,2,0,0,0,0,0,0,1,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
S. Ibeagha,90,0,0,0,0,71.9,0,23,0,0,0,0,0,1,0,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
S. Moore,90,0,0,0,0,76,0,19,1,0,1,0,0,3,0,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
A. Julio,90,0,0.47,4,2,63.2,0,12,0,0,1,0,0,3,0,0,1,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
P. Martins,56,0,0.06,1,0,79,0,15,0,1,1,0,0,3,1,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
N. Norris,10,0,0,0,0,50,0,1,0,0,0,0,0,0,0,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
M. Paes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
D. García,10,0,0,0,0,100,0,5,0,0,0,0,0,0,0,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
P. Delgado,34,0,0,0,0,85.7,1,6,1,1,1,0,0,0,0,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
E. Sali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
J. Torquato,25,0,0,0,0,75,0,3,0,0,1,0,0,1,2,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
S. Sarver,80,0,0.09,2,1,69.2,1,9,0,0,1,0,0,0,2,1,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
O. Urhoghide,90,1,0.08,1,1,95.8,0,23,0,0,0,0,0,3,1,0,1,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
Á. Augusto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
K. Ferreira,80,1,0.31,1,1,80,0,16,0,0,1,0,0,0,0,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
C. Cappis,90,0,0,0,0,73.2,0,30,1,4,1,0,0,0,2,0,0,0,vanvsdal-10-18-2025,home,VAN,,,,,,,,,
Y. Takaoka,90,0,,0,,79.5,0,1,,,,,,0,1,,0,0,vanvsdal-10-18-2025,home,VAN,5,2,0,35,0,7,0,0,0
M. Collodi,90,0,,0,,54.8,0,1,,,,,,0,1,,0,0,vanvsdal-10-18-2025,home,VAN,6,1,0,17,0,13,0,0,0
D. Mihailovic,90,2,0.31,3,3,80.6,1,29,2,2,1,1,100,2,2,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
D. Etienne Jr.,70,0,0.07,1,0,86.4,1,19,0,0,1,0,0,1,2,0,1,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
J. Cifuentes,90,0,0.02,1,0,84.6,1,33,1,0,4,2,40,0,0,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
L. Gavran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
R. Laryea,90,0,0.08,1,0,91.7,0,22,0,0,0,0,0,4,1,0,1,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
J. Osorio,90,1,0.51,3,2,93.3,0,42,0,0,1,0,0,1,2,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
K. Thompson,90,0,0,0,0,88.2,0,30,0,0,0,1,100,2,1,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
D. Kerr,62,1,0.98,2,1,62.5,0,5,0,0,0,3,37.5,2,2,1,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
K. Franklin,62,0,0.02,1,0,84.2,0,16,0,0,0,0,0,0,0,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
M. Cimermancic,6,0,0,0,0,50,0,1,0,0,0,0,0,2,0,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
L. Stefanović,5,0,0,0,0,75,0,3,0,0,0,0,0,0,0,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
R. Petretta,28,0,0,0,0,91.7,0,11,0,0,0,0,0,0,0,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
S. Rosted,85,0,0,0,0,89.5,0,17,0,0,0,1,100,0,0,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
J. Vilsaint,28,0,0,0,0,100,0,6,0,0,0,1,33.33,0,2,1,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
A. De Rosario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
N. Edwards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
T. Corbeanu,84,0,0,0,0,79.2,1,19,1,0,1,1,100,2,2,0,1,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
M. Henry,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
J. Otero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
R. Schlegel,90,0,0.03,1,0,93.2,0,55,0,0,0,4,80,3,0,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
K. Smith,78,0,0.11,2,0,93.3,0,42,0,0,1,1,33.33,0,2,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
A. Freeman,90,0,0.05,1,0,85,1,51,0,0,5,2,50,3,1,1,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
T. Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
I. Angulo,62,0,0.33,3,1,95.2,0,20,0,0,3,0,0,0,0,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
C. Araújo,28,0,0,0,0,88.2,0,30,0,0,1,0,0,1,0,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
E. Atuesta,87,0,0.64,4,0,83.9,0,52,0,0,0,2,66.67,4,2,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
Z. Taifi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
D. Thorhallsson,12,0,0.37,1,0,87.5,0,14,0,0,0,0,0,0,1,1,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
