id,date,name,age,height_cm,weight_kg,team,contract_start,contract_end,position,foot,jersey_num,wage_eur,value_eur,,overall_rating,best_overall,best_position,total_attacking,crossing,finishing,heading_accuracy,short_passing,volleys,total_skill,dribbling,curve,fk_accuracy,long_passing,ball_control,total_movement,acceleration,sprint_speed,agility,reactions,balance,total_power,shot_power,jumping,stamina,long_shots,total_mentality,aggression,interceptions,attack_position,vision,penalties,composure,total_defending,defensive_awareness,standing_tackle,sliding_tackle,total_goalkeeping,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
275343,2025-10-23,B. Rodríguez,21,173,64,CF Montréal,,,,Right,,8000,36000000,,70,73,CAM,291,69,59,39,73,51,338,74,55,65,70,74,365,78,71,77,68,71,274,61,55,57,65,327,65,67,67,72,56,70,162,37,63,62,51,5,14,13,5,14
246263,2025-10-23,M. Weigandt,25,175,72,CF Montréal,,,,Right,,9000,18000000,,69,69,RB,288,61,40,62,63,62,278,67,65,32,52,62,370,75,81,73,65,76,333,59,77,82,42,295,75,63,65,52,40,69,198,61,69,68,56,8,9,14,10,15
274569,2025-10-23,T. Avilés,21,186,73,CF Montréal,2023.0,2026.0,SUB,Right,6.0,3000,29000000,,69,71,CB,272,51,41,71,70,39,289,55,60,44,69,61,285,58,61,57,61,48,320,57,74,62,57,293,76,71,50,56,40,59,201,63,70,68,52,7,13,13,8,11
186998,2025-10-23,W. Yarbrough,36,188,75,CF Montréal,2025.0,2025.0,SUB,Right,25.0,1000,90000,,66,66,GK,90,12,17,14,32,15,100,18,14,12,35,21,266,59,56,40,65,46,247,50,72,34,16,131,29,12,16,52,22,48,54,25,15,14,327,65,64,66,66,66
260732,2025-10-23,I. Fray,22,183,73,CF Montréal,2021.0,2025.0,SUB,Right,17.0,2000,13000000,,64,66,CB,240,58,42,60,58,22,251,61,50,20,54,66,319,72,76,55,51,65,271,39,74,48,40,265,60,60,56,51,38,49,196,66,67,63,57,13,10,6,15,13
275253,2025-10-23,D. Ruíz,21,178,69,CF Montréal,2023.0,2025.0,SUB,Right,41.0,2000,13000000,,64,66,CAM,233,52,50,40,66,25,273,72,38,31,62,70,321,69,67,63,58,64,271,48,49,66,55,281,59,60,59,64,39,59,192,61,66,65,46,9,12,8,5,12
73888,2025-10-23,M. Silvetti,19,175,70,CF Montréal,2025.0,2029.0,SUB,Right,24.0,2000,12000000,,63,64,RW,287,68,65,51,55,48,287,70,54,48,55,60,346,75,85,72,44,70,289,60,63,51,60,239,33,29,55,61,61,56,122,24,50,48,48,5,9,13,14,7
278217,2025-10-23,S. Morales,18,170,67,CF Montréal,2023.0,2027.0,SUB,Right,81.0,950,425000,,57,59,CAM,226,37,50,39,61,39,272,61,49,46,60,56,304,66,63,70,42,63,221,42,46,44,37,252,47,28,60,62,55,61,109,32,39,38,58,11,12,12,13,10
267801,2025-10-23,R. Sailor,27,193,81,CF Montréal,2022.0,2025.0,SUB,Right,15.0,2000,550000,,63,65,CB,175,22,18,66,46,23,160,35,22,22,42,39,265,62,63,41,55,44,276,38,76,62,22,198,52,66,20,26,34,49,189,61,65,63,54,12,12,8,11,11
276169,2025-10-23,I. Boatwright,20,180,68,CF Montréal,2024.0,2026.0,RES,Right,62.0,1000,375000,,57,57,RB,154,46,20,39,28,21,207,67,25,31,29,55,330,71,70,65,55,69,187,20,45,56,20,226,55,55,41,36,39,45,173,50,63,60,56,11,14,11,7,13
278495,2025-10-23,T. Hall,19,178,72,CF Montréal,2024.0,2027.0,RES,Right,26.0,900,400000,,57,59,CDM,229,45,20,60,64,40,238,55,28,35,60,60,289,59,56,60,47,67,231,36,59,50,32,219,50,55,28,48,38,39,173,60,58,55,52,12,12,7,6,15
269732,2025-10-23,R. Ríos Novo,23,178,70,CF Montréal,2019.0,2025.0,RES,Right,34.0,950,775000,,62,62,GK,54,10,7,10,21,6,62,10,10,14,17,11,189,18,32,25,65,49,140,45,33,25,6,68,19,9,7,22,11,36,31,9,11,11,304,61,57,60,60,66
190569,2025-10-23,S. Frei,39,191,88,CF Montréal,2013.0,2025.0,GK,Right,24.0,2000,250000,,72,72,GK,90,15,17,12,32,14,101,18,10,15,32,26,219,30,30,38,63,58,213,50,59,25,12,146,40,15,12,59,20,50,44,12,20,12,354,71,68,67,74,74
224396,2025-10-23,Y. Gómez Andrade,33,187,92,CF Montréal,2020.0,2025.0,RCB,Right,28.0,9000,27000000,,75,75,CB,234,40,28,80,59,27,229,56,36,26,52,59,302,63,63,56,69,51,328,52,81,79,27,264,83,77,37,41,26,63,214,73,74,67,58,13,10,10,14,11
267995,2025-10-23,J. Ragen,26,198,91,CF Montréal,2022.0,2027.0,CB,Right,25.0,6000,22000000,,71,73,CB,201,24,17,68,68,24,223,36,30,30,69,58,254,52,45,40,69,48,298,39,77,69,23,264,73,68,29,57,37,68,208,70,70,68,55,14,13,6,14,8
237469,2025-10-23,N. Tolo,28,178,79,CF Montréal,2017.0,2025.0,LCB,Left,5.0,6000,17000000,,71,71,LB,233,60,28,59,56,30,242,58,50,24,51,59,372,84,84,70,67,67,328,54,82,83,33,298,85,68,51,50,44,61,210,65,73,72,47,11,10,9,11,6
246045,2025-10-23,P. De la Vega,24,175,67,CF Montréal,2024.0,2027.0,RM,Right,10.0,7000,65000000,,74,75,ST,348,73,73,71,65,66,338,74,59,68,64,73,397,80,81,83,76,77,379,77,81,80,75,327,75,50,69,67,66,73,142,46,47,49,49,8,9,15,8,9
226807,2025-10-23,C. Roldan,30,172,75,CF Montréal,2015.0,2027.0,RCM,Right,7.0,8000,35000000,,74,74,CDM,332,68,60,72,74,58,329,71,70,48,67,73,393,77,77,77,78,84,381,69,84,85,70,354,86,69,74,69,56,70,212,72,72,68,59,13,7,12,16,11
263701,2025-10-23,O. Vargas,19,175,68,CF Montréal,2021.0,2025.0,LCM,Right,18.0,3000,3000000,,69,71,CAM,269,57,51,48,69,44,304,71,53,44,64,72,385,76,73,79,79,78,278,55,53,78,49,322,68,68,70,69,47,70,190,65,65,60,41,6,9,11,7,8
224520,2025-10-23,R. Kent,28,172,65,CF Montréal,2025.0,2025.0,LM,Right,77.0,10000,55000000,,75,75,LW,322,70,65,51,71,65,362,81,75,61,69,76,424,90,88,91,68,87,362,79,73,76,72,306,70,43,70,71,52,70,115,41,41,33,43,9,8,6,13,7
210423,2025-10-23,A. Rusnák,30,175,73,CF Montréal,2022.0,2027.0,RAM,Right,11.0,9000,55000000,,75,75,CAM,337,71,72,43,77,74,372,74,73,75,73,77,375,74,73,79,74,75,351,77,58,84,75,331,57,56,74,75,69,75,141,54,45,42,53,10,7,16,13,7
241487,2025-10-23,J. Ferreira,24,175,64,CF Montréal,2025.0,2027.0,LAM,Right,9.0,7000,34000000,,72,75,ST,337,66,70,65,73,63,336,71,67,56,66,76,401,76,84,82,75,84,355,74,74,81,66,309,60,33,75,73,68,70,134,42,53,39,56,13,12,12,13,6
243302,2025-10-23,D. Musovski,29,183,77,CF Montréal,2024.0,2025.0,ST,Right,19.0,2000,475000,,63,63,ST,282,45,66,64,58,49,231,60,35,31,42,63,311,62,63,61,63,62,300,65,62,70,50,281,62,40,67,55,57,59,122,44,39,39,41,5,5,5,13,13
226035,2025-10-23,J. Morris,30,183,82,CF Montréal,2016.0,2027.0,SUB,Right,13.0,8000,23000000,,72,72,ST,326,60,71,74,64,57,289,68,49,50,58,64,368,75,83,68,73,69,383,78,88,73,60,303,76,33,75,66,53,68,99,42,30,27,54,15,9,8,14,8
205953,2025-10-23,João Paulo,34,168,70,CF Montréal,2020.0,2025.0,SUB,Right,6.0,6000,550000,,70,70,CDM,319,71,60,53,71,64,342,69,67,65,70,71,319,64,51,62,69,73,342,72,67,64,66,335,70,68,70,70,57,76,206,71,69,66,62,15,8,16,14,9
248856,2025-10-23,D. Leyva,22,178,64,CF Montréal,2019.0,2026.0,SUB,Right,75.0,2000,11000000,,63,66,CAM,245,36,55,46,69,39,308,63,48,65,67,65,330,66,62,69,63,70,302,67,52,64,67,261,50,50,58,62,41,67,161,51,55,55,43,6,14,6,11,6
242648,2025-10-23,A. Roldan,28,178,70,CF Montréal,2020.0,2026.0,SUB,Right,16.0,6000,14000000,,70,70,RB,297,70,56,59,70,42,303,68,61,33,67,74,362,76,74,72,68,72,337,63,72,84,56,319,78,65,68,67,41,70,189,66,63,60,44,10,6,14,8,6
203002,2025-10-23,Kim Kee-Hee,35,188,80,CF Montréal,2025.0,2025.0,SUB,Right,20.0,3000,325000,,68,68,CB,258,55,34,69,60,40,254,38,51,43,63,59,281,59,52,59,57,54,325,54,78,61,48,294,71,66,57,55,45,61,199,69,68,62,58,10,10,15,8,15
261565,2025-10-23,J. Bell,27,180,75,CF Montréal,2024.0,2025.0,SUB,Left,15.0,2000,550000,,64,64,CB,191,25,24,65,52,25,190,42,29,24,43,52,318,71,75,48,62,62,267,33,77,67,18,207,64,61,21,28,33,55,192,65,64,63,52,10,14,7,8,13
262530,2025-10-23,A. Thomas,26,188,82,CF Montréal,2021.0,2025.0,SUB,Right,26.0,1000,350000,,61,61,GK,60,12,9,13,21,5,73,9,13,12,25,14,189,32,36,36,45,40,193,45,58,17,5,116,26,15,5,55,15,40,31,5,13,13,310,62,64,60,60,64
260657,2025-10-23,P. Rothrock,26,173,74,CF Montréal,2023.0,2025.0,SUB,Right,14.0,3000,850000,,65,65,LM,260,63,63,39,56,39,281,67,55,43,50,66,373,80,83,78,59,73,277,60,63,62,42,289,80,38,67,55,49,56,106,32,42,32,39,6,6,9,11,7
77671,2025-10-23,K. Kossa-Rienzi,23,170,73,CF Montréal,2023.0,2025.0,SUB,Right,85.0,2000,1000000,,63,63,RB,256,61,51,54,61,29,267,64,44,40,59,60,319,67,58,55,59,80,273,55,56,64,48,293,69,65,60,56,43,64,178,57,62,59,56,9,8,11,13,15
275338,2025-10-23,C. Baker,21,178,69,CF Montréal,2023.0,2026.0,SUB,Right,33.0,1000,350000,,57,57,RB,181,49,21,44,38,29,193,52,29,31,30,51,334,70,69,69,55,71,218,26,48,64,29,245,78,53,44,39,31,46,171,55,59,57,50,6,11,13,10,10
72379,2025-10-23,G. Minoungou,22,178,70,CF Montréal,2024.0,2028.0,SUB,Right,93.0,2000,900000,,62,63,RM,210,55,41,30,44,40,263,76,44,30,43,70,368,88,88,71,51,70,243,50,52,56,39,220,51,20,50,52,47,48,60,24,22,14,41,8,11,7,8,7
77351,2025-10-23,L. Burney,23,191,88,CF Montréal,2024.0,2025.0,SUB,Right,4.0,900,250000,,55,57,CB,163,23,19,59,39,23,133,30,23,15,34,31,244,51,51,44,51,47,273,45,70,52,26,185,56,51,20,28,30,42,158,53,55,50,59,12,13,8,14,12
272755,2025-10-23,J. Castro,25,193,86,CF Montréal,2022.0,2025.0,RES,Right,29.0,600,160000,,55,55,GK,71,13,9,14,26,9,84,13,13,11,28,19,198,42,45,37,44,30,191,40,59,19,6,89,30,14,6,26,13,23,38,10,13,15,276,56,60,53,51,56
262208,2025-10-23,R. Baker-Whiting,20,182,73,CF Montréal,2021.0,2025.0,RES,Right,21.0,1000,625000,,60,61,CAM,255,57,56,49,58,35,265,61,52,39,52,61,331,73,75,64,52,67,318,63,65,59,63,251,52,50,53,56,40,60,166,52,57,57,34,6,7,6,6,9
275686,2025-10-23,T. Sousa,23,180,81,CF Montréal,2024.0,2025.0,RES,Left,3.0,900,210000,,54,54,LB,178,50,29,32,36,31,203,53,35,33,30,52,332,75,74,67,50,66,237,23,57,63,25,229,48,51,49,49,32,43,144,46,50,48,37,10,7,5,8,7
278151,2025-10-23,S. Hawkins,18,190,72,CF Montréal,2023.0,2026.0,RES,Right,39.0,650,300000,,55,57,CB,193,24,20,65,60,24,179,38,23,22,55,41,250,53,53,46,48,50,243,34,64,59,23,201,49,49,22,50,31,43,166,54,58,54,52,11,7,15,7,12
217714,2025-10-23,P. Arriola,30,168,66,CF Montréal,2025.0,2027.0,RES,Right,17.0,5000,13000000,,69,69,RM,309,66,62,56,66,59,312,67,70,47,62,66,377,79,77,78,66,77,354,68,73,84,63,329,82,49,66,67,65,67,190,66,67,57,62,16,10,9,13,14
80610,2025-10-23,S. Brunell,18,168,61,CF Montréal,2025.0,2028.0,RES,Right,37.0,1000,800000,,61,62,CDM,260,48,49,59,62,42,276,58,47,51,58,62,342,65,65,68,55,89,277,56,63,58,42,265,62,58,48,47,50,51,185,62,63,60,49,10,12,7,7,13
78714,2025-10-23,O. De Rosario,23,189,79,CF Montréal,2025.0,2025.0,RES,Right,95.0,1000,400000,,58,60,ST,245,35,66,58,43,43,219,42,43,37,38,59,267,53,55,52,56,51,299,65,62,58,48,235,40,23,60,50,62,49,61,24,19,18,51,11,7,12,9,12
167948,2025-10-23,H. Lloris,38,188,82,CF Montréal,2024.0,2025.0,GK,Left,1.0,4000,12000000,,77,77,GK,103,15,10,10,52,16,123,13,15,12,54,29,288,55,53,49,75,56,190,52,54,31,14,163,31,25,9,58,40,54,55,24,13,18,377,78,76,69,77,77
228321,2025-10-23,Sergi Palencia,29,172,68,CF Montréal,2023.0,2025.0,RB,Right,14.0,6000,14000000,,70,70,RB,281,69,51,57,70,34,298,70,58,44,59,67,367,78,78,72,65,74,346,68,73,79,59,301,75,66,65,50,45,71,196,68,65,63,51,9,14,6,11,11
237245,2025-10-23,E. Segura,28,178,70,CF Montréal,2018.0,2025.0,RCB,Right,4.0,4000,12000000,,68,70,CB,214,23,31,65,70,25,233,49,23,30,67,64,304,53,63,61,67,60,277,36,72,71,22,225,68,69,26,32,30,66,203,66,69,68,56,12,12,13,6,13
222123,2025-10-23,A. Long,32,186,79,CF Montréal,2023.0,2027.0,LCB,Right,33.0,6000,12000000,,71,71,CB,271,38,38,78,66,51,250,58,36,34,62,60,350,77,78,68,67,60,328,46,92,79,31,289,75,64,52,59,39,68,207,70,70,67,53,10,12,13,6,12
221488,2025-10-23,R. Hollingshead,34,188,84,CF Montréal,2022.0,2025.0,LB,Right,24.0,7000,850000,,72,73,CB,319,66,66,74,71,42,310,72,59,41,67,71,317,60,60,65,72,60,389,78,82,86,62,335,74,70,74,68,49,72,212,71,72,69,98,23,17,18,23,17
74939,2025-10-23,Igor Jesus,22,178,76,CF Montréal,2025.0,2029.0,CDM,Right,6.0,4000,27000000,,68,71,CDM,253,46,42,56,73,36,319,70,54,52,70,73,361,76,72,70,71,72,295,52,73,66,36,314,69,66,60,67,52,71,201,67,67,67,54,7,11,9,13,14
240319,2025-10-23,T. Tillman,26,183,74,CF Montréal,2023.0,2025.0,RCM,Right,11.0,6000,24000000,,71,74,CAM,285,56,59,42,78,50,325,77,55,45,70,78,363,75,75,74,67,72,334,62,65,75,60,299,60,60,65,70,44,68,168,55,58,55,53,15,6,6,14,12
208592,2025-10-23,M. Delgado,30,175,67,CF Montréal,2025.0,2025.0,LCM,Right,8.0,7000,2000000,,72,72,CDM,286,60,50,55,75,46,298,62,59,39,68,70,354,71,63,75,70,75,327,66,68,87,44,309,70,70,57,64,48,66,208,65,73,70,55,9,7,13,11,15
272317,2025-10-23,D. Martínez,19,178,68,CF Montréal,2024.0,2027.0,RW,Left,30.0,3000,24000000,,67,68,CAM,271,57,71,40,57,46,287,80,47,37,52,71,336,68,59,69,61,79,248,52,46,45,58,246,33,21,61,68,63,50,80,20,29,31,41,7,12,12,5,5
200104,2025-10-23,H. Son,32,183,78,CF Montréal,2025.0,2027.0,ST,Right,7.0,21000,43000000,,85,85,LW,403,81,84,72,83,83,402,84,87,74,72,85,406,85,83,79,85,74,407,88,82,87,81,344,62,39,85,83,75,86,112,45,34,33,53,11,13,13,6,10
225951,2025-10-23,D. Bouanga,30,180,71,CF Montréal,2022.0,2027.0,LW,Right,99.0,13000,17000000,,79,80,ST,370,72,83,71,70,74,371,80,76,69,68,78,407,83,86,85,82,71,411,85,88,83,74,333,67,38,81,73,74,72,94,46,25,23,55,8,9,14,8,16
237256,2025-10-23,J. Ebobisse,28,183,79,CF Montréal,2025.0,2028.0,SUB,Left,17.0,7000,19000000,,71,71,ST,323,50,70,72,67,64,304,65,60,47,63,69,373,76,78,77,72,70,383,71,89,83,58,302,67,35,72,65,63,64,84,24,32,28,46,7,7,12,6,14
275974,2025-10-23,N. Ordaz,21,180,78,CF Montréal,2022.0,2025.0,SUB,Left,27.0,3000,21000000,,66,68,ST,260,38,70,55,55,42,258,69,49,30,40,70,333,72,68,63,67,63,308,69,65,65,54,232,30,19,70,56,57,55,50,17,18,15,45,11,9,12,7,6
229217,2025-10-23,Y. Yeboah,28,170,70,CF Montréal,2025.0,2027.0,SUB,Right,20.0,4000,1000000,,67,67,LM,299,61,61,56,63,58,294,66,64,48,50,66,409,88,87,87,64,83,322,64,73,67,59,285,44,58,65,58,60,60,172,56,60,56,50,7,13,13,11,6
244680,2025-10-23,M. Choinière,26,174,71,CF Montréal,,,,Right,,8000,12000000,,67,68,CM,282,64,58,32,68,60,321,66,64,58,67,66,319,68,54,60,66,71,303,60,53,74,54,291,35,62,67,68,59,72,193,64,69,60,59,14,11,7,13,14
240439,2025-10-23,R. Porteous,26,188,75,CF Montréal,2025.0,2028.0,SUB,Right,5.0,6000,23000000,,71,73,CB,271,57,34,70,67,43,291,60,54,45,70,62,305,59,69,47,62,68,328,68,77,74,28,321,84,68,54,64,51,61,206,67,70,69,49,7,7,10,13,12
256024,2025-10-23,N. Tafari,28,193,84,CF Montréal,2025.0,2026.0,SUB,Right,91.0,4000,1000000,,67,69,CB,204,26,35,59,62,22,228,50,21,27,66,64,312,74,66,50,64,58,312,43,80,73,35,231,60,68,33,40,30,71,196,68,66,62,49,13,10,9,5,12
247428,2025-10-23,D. Ochoa,24,188,80,CF Montréal,2024.0,2025.0,SUB,Right,18.0,950,675000,,62,62,GK,49,8,5,11,21,4,52,6,8,8,20,10,184,28,25,33,60,38,213,45,56,38,6,88,20,9,7,38,14,31,27,8,9,10,304,60,62,60,60,62
247582,2025-10-23,F. Amaya,24,163,63,CF Montréal,2024.0,2025.0,SUB,Right,23.0,4000,21000000,,69,71,CM,267,60,53,38,70,46,325,70,62,55,66,72,372,73,71,80,68,80,319,68,56,81,57,322,80,66,63,68,45,64,199,67,70,62,60,13,7,15,14,11
255772,2025-10-23,R. Raposo,26,170,64,CF Montréal,2025.0,2025.0,SUB,Right,21.0,3000,850000,,65,65,RM,285,66,61,37,65,56,315,67,69,55,58,66,350,72,65,75,55,83,269,55,48,64,54,289,43,69,61,60,56,60,158,58,60,40,41,7,5,9,10,10
278502,2025-10-23,L. Dellavalle,21,189,78,CF Montréal,2024.0,2026.0,SUB,Right,15.0,1000,475000,,59,61,CB,208,44,20,63,58,23,206,30,23,40,58,55,262,55,53,58,47,49,237,44,66,33,29,181,40,58,24,26,33,44,183,54,65,64,48,10,7,7,13,11
75237,2025-10-23,A. Wibowo,19,183,77,CF Montréal,2024.0,2025.0,SUB,Right,77.0,850,190000,,52,53,RM,228,47,48,40,44,49,232,58,44,39,40,51,291,66,67,59,37,62,252,59,49,53,33,217,32,26,50,55,54,48,89,27,32,30,37,9,7,6,6,9
260616,2025-10-23,A. Saldaña,23,168,65,CF Montréal,2025.0,2025.0,SUB,Right,43.0,1000,675000,,61,62,CDM,229,42,42,46,61,38,282,58,56,48,60,60,311,55,54,75,56,71,293,55,56,61,54,281,67,55,58,59,42,62,184,60,64,60,51,14,5,11,8,13
246860,2025-10-23,O. Holm,22,175,66,CF Montréal,,,,Right,,11000,13000000,,64,66,CAM,272,53,55,47,70,47,302,59,58,58,65,62,378,78,75,80,62,83,290,58,62,63,51,298,60,57,62,68,51,64,168,48,61,59,59,14,11,10,15,9
248216,2025-10-23,T. Hasal,25,191,77,CF Montréal,2024.0,2025.0,RES,Right,12.0,1000,500000,,63,63,GK,62,14,7,14,21,6,59,8,11,11,17,12,174,27,26,23,63,35,192,44,55,23,7,80,18,13,6,30,13,23,32,8,11,13,308,63,60,58,61,66
78204,2025-10-23,K. Nielsen,23,178,77,CF Montréal,2025.0,2025.0,RES,Right,45.0,900,170000,,53,55,CB,171,29,18,49,53,22,167,23,27,30,42,45,268,63,65,50,42,48,218,35,53,51,24,207,50,52,32,35,38,42,169,61,56,52,55,11,15,11,12,6
77759,2025-10-23,A. Smolyakov,22,180,76,CF Montréal,2025.0,2028.0,RES,Left,29.0,1000,625000,,61,62,CM,244,61,44,44,64,31,277,64,51,34,64,64,305,65,66,55,54,65,259,46,54,58,41,249,49,48,51,60,41,46,184,52,68,64,52,15,10,12,7,8
164505,2025-10-23,B. Guzan,40,193,94,CF Montréal,2017.0,2025.0,GK,Left,1.0,1000,130000,,68,68,GK,83,16,14,12,26,15,102,14,15,11,34,28,227,38,37,37,68,47,228,49,63,30,15,152,35,19,12,51,35,53,41,12,15,14,335,69,67,65,65,69
237662,2025-10-23,B. Lennon,27,177,70,CF Montréal,2019.0,2025.0,RB,Right,11.0,5000,15000000,,70,70,RB,318,79,59,62,69,49,329,65,70,58,69,67,347,72,74,70,63,68,355,69,73,87,60,335,62,64,71,72,66,67,190,63,65,62,37,6,6,10,8,7
216730,2025-10-23,S. Gregersen,30,191,83,CF Montréal,2024.0,2027.0,RCB,Right,5.0,6000,13000000,,70,70,CB,251,35,38,74,63,41,238,40,48,38,58,54,296,72,82,33,64,45,359,51,90,78,50,281,73,68,44,51,45,67,199,60,71,68,47,8,10,10,7,12
240921,2025-10-23,R. Hernández,27,171,70,CF Montréal,2022.0,2025.0,LCB,Right,2.0,4000,975000,,67,67,LB,240,63,42,50,63,22,275,63,62,30,62,58,380,81,82,75,60,82,277,33,71,71,35,264,61,63,54,48,38,52,193,63,66,64,45,8,13,6,12,6
256044,2025-10-23,Pedro Amador,26,181,73,CF Montréal,2024.0,2026.0,LB,Left,18.0,5000,17000000,,69,70,LWB,274,72,37,48,68,49,340,65,74,61,70,70,348,74,74,73,64,63,307,60,63,75,49,298,62,66,64,65,41,62,195,64,67,64,48,8,10,11,12,7
243222,2025-10-23,B. Slisz,26,179,76,CF Montréal,2024.0,2028.0,RCM,Right,99.0,7000,36000000,,73,74,CM,306,54,56,63,76,57,321,68,58,50,71,74,351,71,71,66,71,72,339,52,73,91,56,332,73,73,65,69,52,73,202,69,67,66,44,14,5,12,8,5
235885,2025-10-23,T. Muyumba,28,165,60,CF Montréal,2023.0,2027.0,LCM,Right,8.0,4000,12000000,,68,68,CDM,268,50,52,51,69,46,294,70,46,42,67,69,373,74,70,72,65,92,315,51,68,83,46,309,63,65,60,66,55,68,197,64,67,66,43,6,11,6,6,14
230977,2025-10-23,M. Almirón,31,174,70,CF Montréal,2025.0,2028.0,CAM,Left,10.0,10000,6000000,,76,76,RW,327,71,70,42,70,74,369,80,79,63,69,78,404,88,86,86,75,69,346,75,61,87,71,334,64,57,72,71,70,75,169,61,59,49,53,6,9,13,13,12
239755,2025-10-23,S. Lobjanidze,30,175,72,CF Montréal,2023.0,2026.0,RW,Right,9.0,9000,41000000,,74,74,RM,349,73,74,68,70,64,361,76,75,70,66,74,399,81,86,86,66,80,352,71,75,76,72,311,61,42,71,67,70,72,128,43,42,43,52,12,6,10,11,13
